=== Bayesian Optimization for Nonlinear Factor Graph Tracking ===
Loaded 500 nonlinear trajectories
dt_vec size: 199, first 10: 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
Max consecutive dt ratio: 1
=== Nonlinear BayesOpt Tracking Test ===
  Turn rate: 0.1 rad/s
  Consistency method: nis4
  Process noise bounds: [0.001, 2]
Run 463: Total chi2=376.911 (Process=129.363, Measurement=247.548)
Run 173: Total chi2=418.731 (Process=130.68, Measurement=288.05)
Run 214: Total chi2=417.076 (Process=97.1441, Measurement=319.932)
Run 46: Total chi2=398.375 (Process=109.11, Measurement=289.265)
Run 259: Total chi2=404.299 (Process=130.718, Measurement=273.581)
Run 90: Total chi2=433.744 (Process=136.983, Measurement=296.762)
Run 301: Total chi2=386.768 (Process=103.496, Measurement=283.271)
Run 7: Total chi2=385.012 (Process=111.158, Measurement=273.854)
Run 464: Total chi2=348.353 (Process=109.11, Measurement=239.244)
Run 215: Total chi2=398.91 (Process=108.161, Measurement=290.749)
Run 383: Total chi2=371.547 (Process=108.582, Measurement=262.965)
Run 130: Total chi2=384.671 (Process=102.822, Measurement=281.849)
Run 174: Total chi2=366.301 (Process=121.171, Measurement=245.13)
Run 422: Total chi2=376.054 (Process=92.1016, Measurement=283.952)
Run 91: Total chi2=426.314 (Process=114.795, Measurement=311.519)
Run 302: Total chi2=341.656 (Process=93.4868, Measurement=248.169)
Run 340: Total chi2=411.03 (Process=104.467, Measurement=306.563)
Run 303: Total chi2=387.154 (Process=110.49, Measurement=276.664)
Run 8: Total chi2=425.97 (Process=124.48, Measurement=301.49)
Run 465: Total chi2=376.04 (Process=97.6072, Measurement=278.432)
Run 260: Total chi2=370.551 (Process=101.856, Measurement=268.695)
Run 175: Total chi2=400.113 (Process=126.001, Measurement=274.112)
Run 92: Total chi2=405.922 (Process=158.377, Measurement=247.544)
Run 47: Total chi2=367.428 (Process=116.574, Measurement=250.855)
Run 423: Total chi2=366.123 (Process=110.711, Measurement=255.413)
Run 384: Total chi2=375.053 (Process=99.1934, Measurement=275.859)
Run 131: Total chi2=395.603 (Process=136.905, Measurement=258.698)
Run 216: Total chi2=405.854 (Process=124.68, Measurement=281.174)
Run 424: Total chi2=345.363 (Process=96.0086, Measurement=249.354)
Run 304: Total chi2=390.192 (Process=98.6677, Measurement=291.525)
Run 466: Total chi2=403.063 (Process=115.635, Measurement=287.428)
Run 9: Total chi2=395.115 (Process=124.22, Measurement=270.895)
Run 176: Total chi2=367.054 (Process=102.853, Measurement=264.201)
Run 261: Total chi2=409.487 (Process=101.779, Measurement=307.708)
Run 341: Total chi2=426.739 (Process=133.361, Measurement=293.378)
Run 385: Total chi2=488.546 (Process=124.456, Measurement=364.09)
Run 93: Total chi2=411.8 (Process=107.584, Measurement=304.216)
Run 132: Total chi2=374.04 (Process=98.3866, Measurement=275.654)
Run 425: Total chi2=349.297 (Process=97.4909, Measurement=251.806)
Run 48: Total chi2=374.972 (Process=105.981, Measurement=268.99)
Run 217: Total chi2=356.31 (Process=99.3349, Measurement=256.975)
Run 305: Total chi2=398.409 (Process=120.398, Measurement=278.011)
Run 467: Total chi2=412.912 (Process=118.9, Measurement=294.012)
Run 10: Total chi2=405.748 (Process=119.371, Measurement=286.376)
Run 94: Total chi2=338.79 (Process=105.705, Measurement=233.086)
Run 177: Total chi2=386.23 (Process=117.473, Measurement=268.758)
Run 262: Total chi2=406.891 (Process=115.2, Measurement=291.692)
Run 386: Total chi2=415.842 (Process=123.647, Measurement=292.195)
Run 133: Total chi2=379.828 (Process=120.588, Measurement=259.24)
Run 306: Total chi2=326.028 (Process=106.783, Measurement=219.245)
Run 218: Total chi2=371.508 (Process=127.756, Measurement=243.752)
Run 95: Total chi2=343.967 (Process=84.4631, Measurement=259.503)
Run 426: Total chi2=428.894 (Process=135.144, Measurement=293.751)
Run 11: Total chi2=382.564 (Process=113.258, Measurement=269.306)
Run 468: Total chi2=389.492 (Process=106.694, Measurement=282.798)
Run 342: Total chi2=352.55 (Process=89.8503, Measurement=262.7)
Run 178: Total chi2=350.543 (Process=88.4732, Measurement=262.07)
Run 263: Total chi2=399.745 (Process=130.336, Measurement=269.409)
Run 96: Total chi2=394.969 (Process=108.822, Measurement=286.147)
Run 219: Total chi2=408.516 (Process=116.303, Measurement=292.213)
Run 387: Total chi2=367.949 (Process=100.539, Measurement=267.411)
Run 134: Total chi2=419.025 (Process=117.806, Measurement=301.22)
Run 49: Total chi2=386.601 (Process=115.427, Measurement=271.174)
Run 307: Total chi2=391.797 (Process=106.031, Measurement=285.766)
Run 12: Total chi2=409.36 (Process=113.465, Measurement=295.895)
Run 427: Total chi2=460.902 (Process=136.268, Measurement=324.635)
Run 469: Total chi2=365.4 (Process=110.796, Measurement=254.603)
Run 97: Total chi2=399.88 (Process=111.535, Measurement=288.345)
Run 179: Total chi2=343.727 (Process=100.681, Measurement=243.046)
Run 220: Total chi2=398.07 (Process=111.676, Measurement=286.394)
Run 308: Total chi2=332.102 (Process=96.3689, Measurement=235.733)
Run 428: Total chi2=424.287 (Process=133.611, Measurement=290.677)
Run 13: Total chi2=423.738 (Process=109.714, Measurement=314.024)
Run 50: Total chi2=415.595 (Process=123.482, Measurement=292.113)
Run 98: Total chi2=Run 221: Total chi2=404.907 (Process=136.689, Measurement=268.218)409.241
 (Process=Run 121.186, Measurement=288.055)
Run 388: Total chi2=403.952 (Process=122.489, Measurement=281.463)
470: Total chi2=425.568 (Process=111.989, Measurement=313.579)
Run 309: Total chi2=369.814 (Process=106.369, Measurement=263.445)
Run 264: Total chi2=381.759 (Process=124.519, Measurement=257.241)
Run 429: Total chi2=425.233 (Process=115.703, Measurement=309.53)
Run 343: Total chi2=379.926 (Process=125.025, Measurement=254.901)
Run 135: Total chi2=344.371 (Process=95.4788, Measurement=248.892)
Run 180: Total chi2=378.861 (Process=115.328, Measurement=263.533)
Run 310: Total chi2=337.454 (Process=113.098, Measurement=224.357)
Run 14: Total chi2=413.828 (Process=110.619, Measurement=303.208)
Run 471: Total chi2=372.951 (Process=99.905, Measurement=273.046)
Run 265: Total chi2=370.408 (Process=106.281, Measurement=264.127)
Run 222: Total chi2=382.863 (Process=118.854, Measurement=264.009)
Run 430: Total chi2=367.59 (Process=94.9003, Measurement=272.69)
Run 181: Total chi2=421.467 (Process=124.407, Measurement=297.061)
Run 51: Total chi2=357.515 (Process=111.477, Measurement=246.038)
Run 389: Total chi2=386.185 (Process=107.646, Measurement=278.539)
Run 99: Total chi2=367.274 (Process=106.076, Measurement=261.197)
Run 136: Total chi2=409.561 (Process=119.521, Measurement=290.04)
Run 311: Total chi2=360.571 (Process=89.4067, Measurement=271.164)
Run 266: Total chi2=364.007 (Process=110.562, Measurement=253.445)
Run 472: Total chi2=461.438 (Process=147.21, Measurement=314.228)
Run 390: Total chi2=428.207 (Process=143.167, Measurement=285.04)
Run 15: Total chi2=448.845 (Process=132.218, Measurement=316.627)
Run 223: Total chi2=449.457 (Process=141.247, Measurement=308.211)
Run 312: Total chi2=357.524 (Process=121.709, Measurement=235.815)
Run 100: Total chi2=380.63 (Process=95.1543, Measurement=285.475)
Run 267: Total chi2=419.341 (Process=128.311, Measurement=291.03)
Run 182: Total chi2=418.378 (Process=110.085, Measurement=308.293)
Run 431: Total chi2=380.214 (Process=112.384, Measurement=267.83)
Run 137: Total chi2=Run 52: Total chi2=417.38377.736 (Process= (Process=124.251, Measurement=135.37, Measurement=253.484)282.01)

Run 473: Total chi2=440.903 (Process=128.621, Measurement=312.282)
Run 344: Total chi2=388.632 (Process=135.791, Measurement=252.841)
Run 16: Total chi2=424.354 (Process=126.967, Measurement=297.386)
Run 313: Total chi2=407.503 (Process=122.302, Measurement=285.2)
Run 224: Total chi2=383.394 (Process=104.177, Measurement=279.217)
Run 101: Total chi2=383.704 (Process=109.154, Measurement=274.55)
Run 391: Total chi2=426.067 (Process=143.887, Measurement=282.18)
Run 183: Total chi2=405.39 (Process=120.585, Measurement=284.805)
Run 17: Total chi2=393.261 (Process=110.442, Measurement=282.818)
Run 138: Total chi2=354.521 (Process=108.41, Measurement=246.11)
Run 474: Total chi2=392.519 (Process=120.656, Measurement=271.863)
Run 53: Total chi2=393.311 (Process=112.811, Measurement=280.499)
Run 432: Total chi2=394.921 (Process=120.529, Measurement=274.393)
Run 184: Total chi2=451.571 (Process=92.659, Measurement=358.912)
Run 314: Total chi2=419.466 (Process=121.554, Measurement=297.912)
Run 392: Total chi2=396.85 (Process=121.427, Measurement=275.423)
Run 225: Total chi2=377.25 (Process=126.349, Measurement=250.901)
Run 268: Total chi2=308.711 (Process=86.55, Measurement=222.161)
Run 345: Total chi2=406.79 (Process=110.392, Measurement=296.399)
Run 102: Total chi2=383.959 (Process=115.716, Measurement=268.242)
Run 315: Total chi2=404.193 (Process=113.572, Measurement=290.621)
Run 18: Total chi2=419.205 (Process=125.083, Measurement=294.122)
Run 475: Total chi2=414.439 (Process=111.471, Measurement=302.968)
Run 433: Total chi2=444.534 (Process=138.184, Measurement=306.349)
Run 139: Total chi2=402.758 (Process=127.922, Measurement=274.836)
Run 346: Total chi2=402.206 (Process=132.119, Measurement=270.087)
Run 393: Total chi2=370.559 (Process=104.959, Measurement=265.6)
Run 103: Total chi2=400.015 (Process=104.129, Measurement=295.886)
Run 476: Total chi2=419.27 (Process=115.566, Measurement=303.705)
Run 226: Total chi2=395.329 (Process=123.838, Measurement=271.491)
Run 316: Total chi2=370.791 (Process=108.361, Measurement=262.43)
Run 347: Total chi2=413.416 (Process=125.048, Measurement=288.368)
Run 54: Total chi2=393.203 (Process=122.14, Measurement=271.063)
Run 269: Total chi2=445.342 (Process=132.853, Measurement=312.489)
Run 19: Total chi2=401.028 (Process=112.534, Measurement=288.495)
Run 227: Total chi2=427.84 (Process=128.835, Measurement=299.004)
Run 394: Total chi2=342.778 (Process=88.9312, Measurement=253.846)
Run 185: Total chi2=392.46 (Process=117.964, Measurement=274.496)
Run 477: Total chi2=425.838 (Process=113.835, Measurement=312.003)
Run 434: Total chi2=373.794 (Process=116.825, Measurement=256.969)
Run 317: Total chi2=371.094 (Process=112.508, Measurement=258.586)
Run 104: Total chi2=434.415 (Process=126.904, Measurement=307.511)
Run 140: Total chi2=372.162 (Process=106.456, Measurement=265.706)
Run 105: Total chi2=375.951 (Process=112.907, Measurement=263.043)
Run 186: Total chi2=437.182 (Process=143.038, Measurement=294.145)
Run 395: Total chi2=374.989 (Process=120.341, Measurement=254.648)
Run 20: Total chi2=396.607 (Process=121.15, Measurement=275.457)
Run 318: Total chi2=436.811 (Process=101.74, Measurement=335.071)
Run 228: Total chi2=379.973 (Process=105.762, Measurement=274.21)
Run 270: Total chi2=363.662 (Process=126.141, Measurement=237.521)
Run 55: Total chi2=394.174 (Process=118.301, Measurement=275.873)
Run 478: Total chi2=371.525 (Process=99.6741, Measurement=271.851)
Run 106: Total chi2=343.731 (Process=114.853, Measurement=228.878)
Run 348: Total chi2=364.074 (Process=117.655, Measurement=246.42)
Run 141: Total chi2=473.652 (Process=124.911, Measurement=348.741)
Run 396: Total chi2=404.174 (Process=103.12, Measurement=301.055)
Run 435: Total chi2=391.489 (Process=118.488, Measurement=273)
Run 319: Total chi2=376.596 (Process=108.552, Measurement=268.044)
Run 229: Total chi2=394.332 (Process=108.139, Measurement=286.193)
Run 21: Total chi2=403.6 (Process=118.855, Measurement=284.746)
Run 479: Total chi2=387.626 (Process=107.641, Measurement=279.984)
Run 397: Total chi2=353.034 (Process=102.483, Measurement=250.551)
Run 107: Total chi2=384.553 (Process=113.679, Measurement=270.874)
Run 436: Total chi2=391.16 (Process=93.6806, Measurement=297.48)
Run 480: Total chi2=377.932 (Process=109.901, Measurement=268.031)
Run 187: Total chi2=411.178 (Process=139.208, Measurement=271.97)
Run 22: Total chi2=Run 320: Total chi2=462.138378.336 (Process= (Process=127.6, Measurement=139.494, Measurement=250.736)
322.644)
Run 142: Total chi2=381.487 (Process=108.731, Measurement=272.756)
Run 230: Total chi2=372.737 (Process=98.088, Measurement=274.649)
Run 349: Total chi2=418.026 (Process=129.689, Measurement=288.337)
Run 271: Total chi2=400.962 (Process=120.845, Measurement=280.117)
Run 481: Total chi2=366.268 (Process=128.967, Measurement=237.301)
Run 108: Total chi2=438.626 (Process=144.145, Measurement=294.481)
Run 23: Total chi2=407.523 (Process=121.067, Measurement=286.455)
Run 437: Total chi2=409.838 (Process=120.034, Measurement=289.804)
Run 56: Total chi2=406.472 (Process=115.199, Measurement=291.273)
Run 482: Total chi2=430.143 (Process=131.035, Measurement=299.108)
Run 321: Total chi2=387.494 (Process=118.249, Measurement=269.245)
Run 350: Total chi2=335.14 (Process=103.493, Measurement=231.647)
Run 231: Total chi2=353.855 (Process=93.856, Measurement=259.999)
Run 143: Total chi2=439.861 (Process=151.299, Measurement=288.562)
Run 272: Total chi2=369.741 (Process=114.285, Measurement=255.456)
Run 398: Total chi2=379.478 (Process=109.364, Measurement=270.114)
Run 438: Total chi2=416.645 (Process=127.479, Measurement=289.167)
Run 351: Total chi2=421.629 (Process=129.531, Measurement=292.098)
Run 57: Total chi2=368.483 (Process=116.636, Measurement=251.846)
Run 483: Total chi2=373.041 (Process=101.029, Measurement=272.012)
Run 322: Total chi2=434.001 (Process=104.359, Measurement=329.642)
Run 232: Total chi2=378.791 (Process=93.7644, Measurement=285.027)
Run 273: Total chi2=369.999 (Process=114.13, Measurement=255.869)
Run 24: Total chi2=Run 394.827 (Process=188: Total chi2=113.724, Measurement=281.103)
376.827 (Process=101.846, Measurement=274.981)
Run 399: Total chi2=417.882 (Process=127.164, Measurement=290.718)
Run 144: Total chi2=454.68 (Process=133.115, Measurement=321.565)
Run 352: Total chi2=377.966 (Process=93.0141, Measurement=284.952)
Run 109: Total chi2=363.573 (Process=118.945, Measurement=244.628)
Run 400: Total chi2=418.674 (Process=109.118, Measurement=309.556)
Run 439: Total chi2=381.476 (Process=110.037, Measurement=271.439)
Run 233: Total chi2=367.231 (Process=107.682, Measurement=259.55)
Run 323: Total chi2=354.765 (Process=121.816, Measurement=232.949)
Run 25: Total chi2=364.685 (Process=103.084, Measurement=261.6)
Run 484: Total chi2=417.349 (Process=111.476, Measurement=305.874)
Run 110: Total chi2=402.859 (Process=122.501, Measurement=280.358)
Run 353: Total chi2=463.315 (Process=131.313, Measurement=332.001)
Run 26: Total chi2=388.092 (Process=113.817, Measurement=274.275)
Run 145: Total chi2=396.843 (Process=127.823, Measurement=269.02)
Run 440: Total chi2=355.187 (Process=104.064, Measurement=251.123)
Run 274: Total chi2=404.409 (Process=112.205, Measurement=292.205)
Run 401: Total chi2=430.796 (Process=142.612, Measurement=288.184)
Run 234: Total chi2=385.125 (Process=129.046, Measurement=256.079)
Run 402: Total chi2=442.923 (Process=134.837, Measurement=308.086)
Run 354: Total chi2=402.01 (Process=120.085, Measurement=281.925)
Run 27: Total chi2=393.613 (Process=110.308, Measurement=283.305)
Run 324: Total chi2=362.948 (Process=116.044, Measurement=246.904)
Run 58: Total chi2=384.922 (Process=122.075, Measurement=262.847)
Run 146: Total chi2=459.177 (Process=134.647, Measurement=324.53)
Run 485: Total chi2=412.419 (Process=114.334, Measurement=298.085)
Run 441: Total chi2=376.429 (Process=100.128, Measurement=276.3)
Run 111: Total chi2=428.724 (Process=139.286, Measurement=289.438)
Run 189: Total chi2=358.431 (Process=112.86, Measurement=245.571)
Run 403: Total chi2=403.529 (Process=128.813, Measurement=274.716)
Run 325: Total chi2=392.445 (Process=120.656, Measurement=271.79)
Run 28: Total chi2=368.597 (Process=111.275, Measurement=257.322)
Run 355: Total chi2=377.83 (Process=119.452, Measurement=258.379)
Run 275: Total chi2=376.791 (Process=106.077, Measurement=270.714)
Run 486: Total chi2=381.225 (Process=109.858, Measurement=271.367)
Run 235: Total chi2=409.673 (Process=124.075, Measurement=285.598)
Run 190: Total chi2=382.477 (Process=129.7, Measurement=252.777)
Run 59: Total chi2=427.117 (Process=112.139, Measurement=314.978)
Run 326: Total chi2=439.106 (Process=121.029, Measurement=318.077)
Run 112: Total chi2=332.593 (Process=84.694, Measurement=247.899)
Run 276: Total chi2=389.219 (Process=114.917, Measurement=274.303)
Run 404: Total chi2=420.947 (Process=137.387, Measurement=283.56)
Run 29: Total chi2=354.828 (Process=102.567, Measurement=252.262)
Run 236: Total chi2=376.342 (Process=98.4631, Measurement=277.879)
Run 487: Total chi2=387.025 (Process=112.08, Measurement=274.945)
Run 442: Total chi2=411.463 (Process=116.469, Measurement=294.994)
Run 356: Total chi2=414.212 (Process=111.126, Measurement=303.086)
Run 147: Total chi2=402.046 (Process=118.953, Measurement=283.092)
Run 60: Total chi2=371.479 (Process=98.6526, Measurement=272.826)
Run 30: Total chi2=364.726 (Process=96.8927, Measurement=267.833)
Run 191: Total chi2=397.271 (Process=106.293, Measurement=290.977)
Run 237: Total chi2=440.666 (Process=145.646, Measurement=295.02)
Run 327: Total chi2=381.995 (Process=99.5192, Measurement=282.475)
Run 405: Total chi2=385.923 (Process=115.475, Measurement=270.448)
Run 443: Total chi2=405.298 (Process=147.141, Measurement=258.157)
Run 61: Total chi2=410.179 (Process=98.7866, Measurement=311.392)
Run 488: Total chi2=411.784 (Process=126.839, Measurement=284.945)
Run 148: Total chi2=420.185 (Process=134.165, Measurement=286.02)
Run 277: Total chi2=409.86 (Process=137.318, Measurement=272.542)
Run 113: Total chi2=409.669 (Process=114.157, Measurement=295.512)
Run 31: Total chi2=371.151 (Process=103.132, Measurement=268.019)
Run 406: Total chi2=395.106 (Process=117.312, Measurement=277.793)
Run 357: Total chi2=333.843 (Process=119.738, Measurement=214.105)
Run 444: Total chi2=431.775 (Process=113.749, Measurement=318.026)
Run 62: Total chi2=410.228 (Process=126.661, Measurement=283.567)
Run 328: Total chi2=357.791 (Process=115.408, Measurement=242.384)
Run 489: Total chi2=379.27 (Process=127.534, Measurement=251.736)
Run 278: Total chi2=380.294 (Process=105.61, Measurement=274.684)
Run 238: Total chi2=394.036 (Process=114.495, Measurement=279.54)
Run 407: Total chi2=353.383 (Process=88.138, Measurement=265.245)
Run 192: Total chi2=396.751 (Process=115.808, Measurement=280.943)
Run 149: Total chi2=401.657 (Process=125.132, Measurement=276.525)
Run 445: Total chi2=379.986 (Process=111.53, Measurement=268.456)
Run 32: Total chi2=Run 63: Total chi2=447.069 (Process=130.94, Measurement=316.129)
416.43 (Process=121.837, Measurement=294.594)
Run 279: Total chi2=400.481 (Process=118.706, Measurement=281.775)
Run 114: Total chi2=339.572 (Process=105.118, Measurement=234.454)
Run 490: Total chi2=457.519 (Process=142.459, Measurement=315.06)
Run 329: Total chi2=456.104 (Process=133.124, Measurement=322.98)
Run 239: Total chi2=391.615 (Process=101.069, Measurement=290.546)
Run 446: Total chi2=386.61 (Process=122.255, Measurement=264.355)
Run 408: Total chi2=408.234 (Process=118.326, Measurement=289.908)
Run 150: Total chi2=425.354 (Process=101.792, Measurement=323.562)
Run 33: Total chi2=401.871 (Process=128.296, Measurement=273.575)
Run 115: Total chi2=399.883 (Process=133.026, Measurement=266.857)
Run 151: Total chi2=414.507 (Process=118.612, Measurement=295.896)
Run 193: Total chi2=412.709 (Process=132.298, Measurement=280.41)
Run 280: Total chi2=Run 358: Total chi2=386.579 (Process=404.465 (Process=110.115130.43, Measurement=, Measurement=274.036)
276.464)
Run 64: Total chi2=386.403 (Process=116.157, Measurement=270.246)
Run 447: Total chi2=392.149 (Process=115.879, Measurement=276.27)
Run 330: Total chi2=371.281 (Process=117.144, Measurement=254.137)
Run 491: Total chi2=397.528 (Process=111.775, Measurement=285.753)
Run 34: Total chi2=356.415 (Process=101.984, Measurement=254.432)
Run 152: Total chi2=389.951 (Process=120.663, Measurement=269.288)
Run 409: Total chi2=456.599 (Process=148.22, Measurement=308.379)
Run 492: Total chi2=408.941 (Process=140.274, Measurement=268.667)
Run 65: Total chi2=375.131 (Process=101.489, Measurement=273.642)
Run 331: Total chi2=418.889 (Process=128.513, Measurement=290.376)
Run 116: Total chi2=400.445 (Process=113.672, Measurement=286.773)
Run 240: Total chi2=386.853 (Process=128.262, Measurement=258.592)
Run 359: Total chi2=481.26 (Process=121.837, Measurement=359.423)
Run 281: Total chi2=Run 382.395 (Process=114.683, Measurement=267.712)35: Total chi2=
Run 493: Total chi2=354.171 (Process=108.248, Measurement=245.923)
354.156 (Process=106.814, Measurement=247.342)
Run 448: Total chi2=421.296 (Process=119.087, Measurement=302.209)
Run 153: Total chi2=375.081 (Process=117.946, Measurement=257.135)
Run 410: Total chi2=383.09 (Process=118.138, Measurement=264.952)
Run 332: Total chi2=378.166 (Process=111.604, Measurement=266.562)
Run 194: Total chi2=407.508 (Process=112.642, Measurement=294.867)
Run 117: Total chi2=437.446 (Process=139.949, Measurement=297.497)
Run 66: Total chi2=368.708 (Process=122.995, Measurement=245.713)
Run 118: Total chi2=387.44 (Process=106.66, Measurement=280.78)
Run 154: Total chi2=461.422 (Process=133.812, Measurement=327.611)
Run 333: Total chi2=410.743 (Process=118.144, Measurement=292.599)
Run 494: Total chi2=347.156 (Process=102.43, Measurement=244.726)
Run 195: Total chi2=397.613 (Process=102.472, Measurement=295.141)
Run 282: Total chi2=394.111 (Process=112.356, Measurement=281.755)
Run 67: Total chi2=352.317 (Process=105.795, Measurement=246.522)
Run 241: Total chi2=404.231 (Process=117.779, Measurement=286.451)
Run 411: Total chi2=404.363 (Process=126.734, Measurement=277.629)
Run 119: Total chi2=366.95 (Process=110.547, Measurement=256.403)
Run 36: Total chi2=378.436 (Process=118.926, Measurement=259.509)
Run 449: Total chi2=330.99 (Process=90.5957, Measurement=240.394)
Run 360: Total chi2=401.702 (Process=125.898, Measurement=275.805)
Run 334: Total chi2=394.453 (Process=120.594, Measurement=273.859)
Run 155: Total chi2=375.979 (Process=103.551, Measurement=272.428)
Run 495: Total chi2=465.312 (Process=159.63, Measurement=305.682)
Run 196: Total chi2=430.694 (Process=114.68, Measurement=316.014)
Run 283: Total chi2=374.662 (Process=90.7595, Measurement=283.902)
Run 120: Total chi2=395.138 (Process=135.769, Measurement=259.369)
Run 412: Total chi2=373.444 (Process=108.486, Measurement=264.958)
Run 335: Total chi2=414.798 (Process=140.307, Measurement=274.491)
Run 37: Total chi2=434.858 (Process=121.603, Measurement=313.254)
Run 242: Total chi2=393.289 (Process=130.417, Measurement=262.872)
Run 121: Total chi2=435.742 (Process=143.172, Measurement=292.57)
Run 156: Total chi2=345.648 (Process=109.684, Measurement=235.963)
Run 496: Total chi2=360.313 (Process=121.549, Measurement=238.764)
Run 68: Total chi2=404.327 (Process=127.928, Measurement=276.399)
Run 284: Total chi2=432.418 (Process=141.972, Measurement=290.446)
Run 361: Total chi2=451.536 (Process=124.189, Measurement=327.346)
Run 197: Total chi2=388.215 (Process=121.511, Measurement=266.704)
Run 413: Total chi2=380.377 (Process=113.516, Measurement=266.861)
